     68.105.28.47 |  26 100.000 % | 676 100.000 %
    68.105.28.172 |  26 100.000 % | 676 100.000 %
    68.105.29.171 |  26 100.000 % | 676 100.000 %
   205.188.118.86 |  26 100.000 % | 666  98.521 %
     68.105.28.48 |  26 100.000 % | 676 100.000 %
     68.105.28.49 |  26 100.000 % | 676 100.000 %
   205.188.118.21 |  26 100.000 % | 667  98.669 %
   205.188.118.22 |  26 100.000 % | 665  98.373 %
      10.20.20.51 |  26 100.000 % | 640  94.675 %
   205.188.118.23 |  26 100.000 % | 674  99.704 %
    68.105.28.110 |  26 100.000 % | 676 100.000 %
   205.188.118.24 |  26 100.000 % | 676 100.000 %
    68.105.28.111 |  26 100.000 % | 676 100.000 %
    68.105.29.110 |  26 100.000 % | 676 100.000 %
    68.105.28.112 |  26 100.000 % | 676 100.000 %
    68.105.29.111 |  26 100.000 % | 676 100.000 %
   165.189.236.50 |  26 100.000 % | 624  92.308 %
    68.105.29.112 |  26 100.000 % | 676 100.000 %
    68.105.29.235 |  26 100.000 % | 676 100.000 %
    68.105.28.173 |  26 100.000 % | 676 100.000 %
    68.105.29.172 |  26 100.000 % | 676 100.000 %
   205.188.118.87 |  26 100.000 % | 672  99.408 %
     64.12.118.21 |  26 100.000 % | 662  97.929 %
    68.105.29.236 |  26 100.000 % | 676 100.000 %
     64.12.118.22 |  26 100.000 % | 668  98.817 %
    38.112.17.138 |  26 100.000 % | 676 100.000 %
    68.105.29.237 |  26 100.000 % | 676 100.000 %
     64.12.118.23 |  26 100.000 % | 671  99.260 %
     66.28.20.170 |  26 100.000 % | 676 100.000 %
    68.105.29.238 |  26 100.000 % | 676 100.000 %
    69.12.221.212 |  26 100.000 % | 592  87.574 %
     149.6.140.26 |  26 100.000 % | 676 100.000 %
     64.12.118.24 |  26 100.000 % | 673  99.556 %
    69.12.221.213 |  26 100.000 % | 598  88.462 %
     165.189.75.1 |  26 100.000 % | 342  50.592 %
     66.250.7.154 |  26 100.000 % | 676 100.000 %
    68.105.28.174 |  26 100.000 % | 676 100.000 %
    68.105.29.173 |  26 100.000 % | 676 100.000 %
   205.188.118.88 |  26 100.000 % | 671  99.260 %
     68.105.28.50 |  26 100.000 % | 676 100.000 %
     68.105.28.51 |  26 100.000 % | 676 100.000 %
     165.189.56.4 |  26 100.000 % | 556  82.249 %
     68.105.28.52 |  26 100.000 % | 676 100.000 %
     165.189.56.6 |  26 100.000 % | 522  77.219 %
   207.200.118.85 |  26 100.000 % | 658  97.337 %
   207.200.118.86 |  26 100.000 % | 656  97.041 %
    68.105.29.174 |  26 100.000 % | 676 100.000 %
 2001:4f8:3:30::3 |  24  92.308 % | 101  14.941 %
   167.218.250.65 |  23  88.462 % |  91  13.462 %
   165.219.245.62 |  17  65.385 % |  31   4.586 %
   165.189.236.10 |  17  65.385 % |  35   5.178 %
    143.215.15.51 |  13  50.000 % |  19   2.811 %
   198.186.193.54 |  12  46.154 % |  22   3.254 %
    64.142.100.89 |  10  38.462 % |  16   2.367 %
   143.215.130.30 |   6  23.077 % |   8   1.183 %
    165.189.200.9 |   5  19.231 % |   7   1.036 %
     168.184.0.69 |   4  15.385 % |   4   0.592 %
    65.126.99.146 |   4  15.385 % |   4   0.592 %
    166.147.105.9 |   4  15.385 % |   4   0.592 %
     207.200.7.21 |   3  11.538 % |   3   0.444 %
    66.187.204.25 |   3  11.538 % |   4   0.592 %
       202.53.8.8 |   3  11.538 % |   3   0.444 %
      66.242.88.4 |   3  11.538 % |   3   0.444 %
    67.142.182.18 |   3  11.538 % |   3   0.444 %
    67.142.182.19 |   3  11.538 % |   3   0.444 %
    79.106.109.33 |   3  11.538 % |   3   0.444 %
    204.11.134.30 |   3  11.538 % |   3   0.444 %
    67.142.181.16 |   3  11.538 % |   3   0.444 %
    59.179.243.78 |   3  11.538 % |   3   0.444 %
   198.206.181.22 |   3  11.538 % |   3   0.444 %
     117.120.24.3 |   3  11.538 % |   3   0.444 %
     94.27.127.82 |   3  11.538 % |   3   0.444 %
    220.226.6.118 |   3  11.538 % |   3   0.444 %
    220.226.6.119 |   3  11.538 % |   3   0.444 %
   75.129.132.136 |   3  11.538 % |   3   0.444 %
    209.19.115.38 |   3  11.538 % |   3   0.444 %
   220.226.100.53 |   3  11.538 % |   3   0.444 %
      66.242.89.4 |   3  11.538 % |   3   0.444 %
    220.226.6.121 |   3  11.538 % |   3   0.444 %
     74.124.1.112 |   3  11.538 % |   3   0.444 %
  220.181.125.132 |   3  11.538 % |   4   0.592 %
    79.106.109.65 |   3  11.538 % |   4   0.592 %
    193.226.128.1 |   3  11.538 % |   3   0.444 %
   203.187.192.15 |   3  11.538 % |   3   0.444 %
    123.126.50.57 |   3  11.538 % |   3   0.444 %
     94.198.0.100 |   2   7.692 % |   2   0.296 %
  193.226.128.129 |   2   7.692 % |   2   0.296 %
    203.217.145.2 |   2   7.692 % |   2   0.296 %
  192.122.171.182 |   2   7.692 % |   2   0.296 %
    219.83.59.124 |   2   7.692 % |   2   0.296 %
   62.201.192.108 |   2   7.692 % |   2   0.296 %
  123.108.255.226 |   2   7.692 % |   2   0.296 %
      202.44.8.66 |   2   7.692 % |   2   0.296 %
     69.31.40.106 |   2   7.692 % |   2   0.296 %
    193.30.236.14 |   2   7.692 % |   2   0.296 %
       196.24.0.5 |   2   7.692 % |   2   0.296 %
      195.28.32.3 |   2   7.692 % |   2   0.296 %
    216.39.116.57 |   2   7.692 % |   2   0.296 %
       202.53.8.9 |   2   7.692 % |   2   0.296 %
      64.187.80.5 |   2   7.692 % |   2   0.296 %
     209.86.89.63 |   2   7.692 % |   2   0.296 %
      49.50.225.1 |   2   7.692 % |   2   0.296 %
      80.85.97.70 |   2   7.692 % |   2   0.296 %
   209.253.171.61 |   2   7.692 % |   2   0.296 %
     128.226.1.11 |   2   7.692 % |   2   0.296 %
    61.206.170.10 |   2   7.692 % |   2   0.296 %
   216.125.123.10 |   2   7.692 % |   2   0.296 %
   72.169.224.113 |   2   7.692 % |   2   0.296 %
     66.37.238.30 |   2   7.692 % |   2   0.296 %
    194.176.162.1 |   2   7.692 % |   2   0.296 %
   209.253.171.62 |   2   7.692 % |   3   0.444 %
      190.6.192.3 |   2   7.692 % |   2   0.296 %
     165.139.1.10 |   2   7.692 % |   2   0.296 %
     91.143.36.50 |   2   7.692 % |   2   0.296 %
    162.93.253.89 |   2   7.692 % |   2   0.296 %
       8.8.192.36 |   2   7.692 % |   2   0.296 %
    67.142.182.16 |   2   7.692 % |   2   0.296 %
     204.8.162.17 |   2   7.692 % |   2   0.296 %
    67.142.182.17 |   2   7.692 % |   2   0.296 %
     12.149.3.149 |   2   7.692 % |   2   0.296 %
    145.255.192.2 |   2   7.692 % |   2   0.296 %
      196.2.2.231 |   2   7.692 % |   2   0.296 %
      74.54.91.66 |   2   7.692 % |   2   0.296 %
    200.73.96.146 |   2   7.692 % |   2   0.296 %
   207.28.160.251 |   2   7.692 % |   2   0.296 %
    168.145.59.60 |   2   7.692 % |   2   0.296 %
