     68.105.28.79 |  26 100.000 % | 676 100.000 %
   207.200.118.21 |  26 100.000 % | 671  99.260 %
     68.105.28.50 |  26 100.000 % | 676 100.000 %
     68.105.28.51 |  26 100.000 % | 676 100.000 %
     165.189.56.4 |  26 100.000 % | 567  83.876 %
     68.105.28.52 |  26 100.000 % | 676 100.000 %
     165.189.56.6 |  26 100.000 % | 525  77.663 %
   207.200.118.85 |  26 100.000 % | 660  97.633 %
   207.200.118.86 |  26 100.000 % | 663  98.077 %
   207.200.118.87 |  26 100.000 % | 667  98.669 %
   207.200.118.22 |  26 100.000 % | 671  99.260 %
     149.6.140.30 |  26 100.000 % | 676 100.000 %
   207.200.118.23 |  26 100.000 % | 669  98.964 %
    68.105.28.203 |  26 100.000 % | 676 100.000 %
    68.105.28.204 |  26 100.000 % | 676 100.000 %
    68.105.29.203 |  26 100.000 % | 676 100.000 %
2001:978:1:20::1a |  26 100.000 % | 676 100.000 %
     149.6.150.34 |  26 100.000 % | 676 100.000 %
    68.105.28.205 |  26 100.000 % | 676 100.000 %
    68.105.29.204 |  26 100.000 % | 676 100.000 %
    68.105.28.206 |  26 100.000 % | 676 100.000 %
    68.105.29.205 |  26 100.000 % | 676 100.000 %
2001:978:1:22::1a |  26 100.000 % | 665  98.373 %
    68.105.28.207 |  26 100.000 % | 676 100.000 %
    68.105.29.206 |  26 100.000 % | 676 100.000 %
    68.105.28.208 |  26 100.000 % | 676 100.000 %
    68.105.28.140 |  26 100.000 % | 676 100.000 %
   207.200.118.24 |  26 100.000 % | 667  98.669 %
   209.204.159.16 |  26 100.000 % | 676 100.000 %
2001:550:1:20::1a |  26 100.000 % | 674  99.704 %
2001:550:1:22::1a |  26 100.000 % | 676 100.000 %
     195.93.61.21 |  26 100.000 % | 676 100.000 %
     195.93.61.22 |  26 100.000 % | 676 100.000 %
2001:550:1:24::1a |  26 100.000 % | 676 100.000 %
     195.93.61.23 |  26 100.000 % | 676 100.000 %
     68.105.29.75 |  26 100.000 % | 676 100.000 %
     195.93.61.24 |  26 100.000 % | 676 100.000 %
     68.105.29.76 |  26 100.000 % | 676 100.000 %
    208.106.17.38 |  26 100.000 % | 676 100.000 %
2001:550:1:26::1a |  26 100.000 % | 676 100.000 %
     68.105.29.77 |  26 100.000 % | 676 100.000 %
    208.106.17.39 |  26 100.000 % | 676 100.000 %
     64.142.56.28 |  26 100.000 % | 676 100.000 %
     68.105.29.78 |  26 100.000 % | 676 100.000 %
    68.105.28.141 |  26 100.000 % | 676 100.000 %
    68.105.29.140 |  26 100.000 % | 676 100.000 %
   167.218.250.65 |  24  92.308 % | 103  15.237 %
    146.246.89.57 |  24  92.308 % | 177  26.183 %
   165.189.236.10 |  17  65.385 % |  34   5.030 %
   165.219.245.62 |  17  65.385 % |  37   5.473 %
   198.186.193.54 |  13  50.000 % |  20   2.959 %
    143.215.15.51 |  13  50.000 % |  27   3.994 %
    64.142.100.89 |  10  38.462 % |  14   2.071 %
   143.215.130.30 |   7  26.923 % |  13   1.923 %
    166.147.105.9 |   6  23.077 % |   7   1.036 %
    165.189.200.9 |   6  23.077 % |   7   1.036 %
    65.126.99.146 |   5  19.231 % |   5   0.740 %
    220.226.6.119 |   4  15.385 % |   4   0.592 %
   198.228.217.17 |   4  15.385 % |   4   0.592 %
    66.51.205.100 |   4  15.385 % |   4   0.592 %
    209.19.115.38 |   4  15.385 % |   4   0.592 %
    220.226.6.120 |   4  15.385 % |   4   0.592 %
  220.181.125.132 |   4  15.385 % |   4   0.592 %
   203.187.192.15 |   4  15.385 % |   4   0.592 %
       202.53.8.9 |   4  15.385 % |   4   0.592 %
   209.253.171.62 |   4  15.385 % |   4   0.592 %
    190.104.12.43 |   3  11.538 % |   3   0.444 %
    204.11.129.46 |   3  11.538 % |   3   0.444 %
      69.71.234.7 |   3  11.538 % |   3   0.444 %
    66.51.206.100 |   3  11.538 % |   3   0.444 %
     63.83.24.249 |   3  11.538 % |   3   0.444 %
   220.226.100.55 |   3  11.538 % |   3   0.444 %
      208.77.2.11 |   3  11.538 % |   3   0.444 %
   220.226.100.58 |   3  11.538 % |   3   0.444 %
     76.78.128.46 |   3  11.538 % |   3   0.444 %
   220.226.100.59 |   3  11.538 % |   3   0.444 %
    206.69.160.49 |   3  11.538 % |   3   0.444 %
    220.226.6.123 |   3  11.538 % |   3   0.444 %
     212.49.70.22 |   3  11.538 % |   3   0.444 %
  195.167.185.162 |   3  11.538 % |   3   0.444 %
     194.102.58.3 |   3  11.538 % |   3   0.444 %
  202.162.220.110 |   3  11.538 % |   3   0.444 %
     207.62.2.101 |   3  11.538 % |   3   0.444 %
    219.223.222.2 |   3  11.538 % |   3   0.444 %
      66.218.44.5 |   3  11.538 % |   3   0.444 %
       202.53.8.8 |   3  11.538 % |   3   0.444 %
   209.253.171.61 |   3  11.538 % |   3   0.444 %
      66.242.88.4 |   3  11.538 % |   3   0.444 %
    67.142.182.16 |   3  11.538 % |   3   0.444 %
    67.142.182.19 |   3  11.538 % |   3   0.444 %
    220.226.6.117 |   3  11.538 % |   3   0.444 %
    59.179.243.78 |   3  11.538 % |   3   0.444 %
      64.77.217.9 |   2   7.692 % |   2   0.296 %
   200.35.174.126 |   2   7.692 % |   2   0.296 %
    208.92.72.118 |   2   7.692 % |   2   0.296 %
    66.112.55.170 |   2   7.692 % |   2   0.296 %
   162.93.253.139 |   2   7.692 % |   2   0.296 %
    194.197.24.10 |   2   7.692 % |   2   0.296 %
   72.169.224.111 |   2   7.692 % |   2   0.296 %
   67.222.159.250 |   2   7.692 % |   2   0.296 %
      193.49.64.5 |   2   7.692 % |   2   0.296 %
   202.138.113.53 |   2   7.692 % |   2   0.296 %
    204.11.134.30 |   2   7.692 % |   2   0.296 %
      200.59.62.4 |   2   7.692 % |   2   0.296 %
    75.98.240.131 |   2   7.692 % |   2   0.296 %
       196.0.3.70 |   2   7.692 % |   2   0.296 %
     206.110.1.34 |   2   7.692 % |   2   0.296 %
     210.4.77.180 |   2   7.692 % |   2   0.296 %
      69.43.124.3 |   2   7.692 % |   2   0.296 %
     65.99.255.50 |   2   7.692 % |   2   0.296 %
    207.69.195.65 |   2   7.692 % |   2   0.296 %
    67.142.181.17 |   2   7.692 % |   2   0.296 %
     206.80.254.4 |   2   7.692 % |   2   0.296 %
   64.219.133.129 |   2   7.692 % |   2   0.296 %
    190.5.117.130 |   2   7.692 % |   2   0.296 %
    218.102.48.20 |   2   7.692 % |   3   0.444 %
    67.142.181.19 |   2   7.692 % |   2   0.296 %
   195.114.161.61 |   2   7.692 % |   2   0.296 %
   207.250.79.130 |   2   7.692 % |   2   0.296 %
     61.6.254.169 |   2   7.692 % |   2   0.296 %
     117.120.24.2 |   2   7.692 % |   2   0.296 %
     117.120.24.3 |   2   7.692 % |   2   0.296 %
     62.173.32.89 |   2   7.692 % |   2   0.296 %
    194.145.128.2 |   2   7.692 % |   2   0.296 %
     216.15.184.2 |   2   7.692 % |   2   0.296 %
    66.194.210.11 |   2   7.692 % |   2   0.296 %
     149.156.4.11 |   2   7.692 % |   2   0.296 %
     66.92.75.129 |   2   7.692 % |   2   0.296 %
    199.44.253.45 |   2   7.692 % |   2   0.296 %
   220.226.100.53 |   2   7.692 % |   2   0.296 %
    79.106.109.94 |   2   7.692 % |   2   0.296 %
   220.181.19.105 |   2   7.692 % |   2   0.296 %
   220.226.100.54 |   2   7.692 % |   2   0.296 %
      66.242.89.4 |   2   7.692 % |   2   0.296 %
    180.149.11.13 |   2   7.692 % |   2   0.296 %
    200.12.221.16 |   2   7.692 % |   2   0.296 %
    200.12.221.17 |   2   7.692 % |   2   0.296 %
    64.22.186.100 |   2   7.692 % |   2   0.296 %
    65.206.16.129 |   2   7.692 % |   2   0.296 %
   217.14.192.173 |   2   7.692 % |   2   0.296 %
   220.226.100.56 |   2   7.692 % |   2   0.296 %
   24.171.168.183 |   2   7.692 % |   3   0.444 %
   148.240.241.41 |   2   7.692 % |   2   0.296 %
   220.226.100.57 |   2   7.692 % |   2   0.296 %
      200.0.182.3 |   2   7.692 % |   2   0.296 %
     66.54.116.10 |   2   7.692 % |   2   0.296 %
   220.181.124.51 |   2   7.692 % |   2   0.296 %
    79.106.109.14 |   2   7.692 % |   2   0.296 %
   200.254.57.130 |   2   7.692 % |   2   0.296 %
    166.147.121.1 |   2   7.692 % |   2   0.296 %
     88.191.42.56 |   2   7.692 % |   2   0.296 %
   162.93.195.134 |   2   7.692 % |   2   0.296 %
     64.76.10.146 |   2   7.692 % |   2   0.296 %
    193.49.132.10 |   2   7.692 % |   2   0.296 %
  202.223.143.116 |   2   7.692 % |   2   0.296 %
     64.184.24.27 |   2   7.692 % |   2   0.296 %
    194.44.214.40 |   2   7.692 % |   2   0.296 %
      208.64.24.2 |   2   7.692 % |   2   0.296 %
    220.226.6.121 |   2   7.692 % |   2   0.296 %
    220.226.6.122 |   2   7.692 % |   2   0.296 %
   162.93.212.199 |   2   7.692 % |   2   0.296 %
  203.217.145.130 |   2   7.692 % |   2   0.296 %
     207.38.101.5 |   2   7.692 % |   2   0.296 %
    66.202.122.66 |   2   7.692 % |   2   0.296 %
     78.89.191.23 |   2   7.692 % |   2   0.296 %
       64.61.99.3 |   2   7.692 % |   2   0.296 %
     98.130.1.253 |   2   7.692 % |   2   0.296 %
    216.56.16.117 |   2   7.692 % |   2   0.296 %
    162.93.124.50 |   2   7.692 % |   2   0.296 %
   216.39.116.103 |   2   7.692 % |   2   0.296 %
    198.59.153.12 |   2   7.692 % |   2   0.296 %
     91.204.136.6 |   2   7.692 % |   2   0.296 %
       24.124.2.2 |   2   7.692 % |   2   0.296 %
      94.20.94.93 |   2   7.692 % |   2   0.296 %
    173.212.47.46 |   2   7.692 % |   2   0.296 %
    163.200.97.20 |   2   7.692 % |   2   0.296 %
      63.245.10.6 |   2   7.692 % |   2   0.296 %
  209.183.191.162 |   2   7.692 % |   2   0.296 %
    201.217.19.10 |   2   7.692 % |   2   0.296 %
    119.82.249.10 |   2   7.692 % |   2   0.296 %
   24.226.147.201 |   2   7.692 % |   2   0.296 %
      72.0.240.16 |   2   7.692 % |   2   0.296 %
    209.86.226.56 |   2   7.692 % |   2   0.296 %
     119.235.48.3 |   2   7.692 % |   2   0.296 %
    74.63.163.217 |   2   7.692 % |   2   0.296 %
      80.93.224.1 |   2   7.692 % |   2   0.296 %
   212.69.128.250 |   2   7.692 % |   2   0.296 %
   193.206.141.38 |   2   7.692 % |   2   0.296 %
    193.226.128.1 |   2   7.692 % |   2   0.296 %
    202.138.96.45 |   2   7.692 % |   2   0.296 %
   80.254.111.155 |   2   7.692 % |   2   0.296 %
    65.112.137.45 |   2   7.692 % |   2   0.296 %
   162.93.126.178 |   2   7.692 % |   2   0.296 %
  193.226.128.129 |   2   7.692 % |   2   0.296 %
     63.247.85.66 |   2   7.692 % |   2   0.296 %
     68.81.141.42 |   2   7.692 % |   2   0.296 %
   170.51.255.166 |   2   7.692 % |   2   0.296 %
      87.116.84.2 |   2   7.692 % |   2   0.296 %
    203.217.145.2 |   2   7.692 % |   2   0.296 %
   206.15.239.254 |   2   7.692 % |   2   0.296 %
     95.159.72.11 |   2   7.692 % |   2   0.296 %
  123.108.255.226 |   2   7.692 % |   2   0.296 %
   209.222.63.130 |   2   7.692 % |   2   0.296 %
      80.85.97.70 |   2   7.692 % |   2   0.296 %
     46.214.144.2 |   2   7.692 % |   2   0.296 %
     66.37.238.30 |   2   7.692 % |   2   0.296 %
    194.176.162.1 |   2   7.692 % |   2   0.296 %
     94.27.127.82 |   2   7.692 % |   2   0.296 %
    206.230.105.5 |   2   7.692 % |   2   0.296 %
   170.51.255.167 |   2   7.692 % |   2   0.296 %
      150.250.1.1 |   2   7.692 % |   2   0.296 %
     165.139.1.10 |   2   7.692 % |   2   0.296 %
    162.93.253.89 |   2   7.692 % |   3   0.444 %
    203.160.160.1 |   2   7.692 % |   2   0.296 %
     198.186.3.74 |   2   7.692 % |   2   0.296 %
    67.142.182.17 |   2   7.692 % |   2   0.296 %
     198.186.3.75 |   2   7.692 % |   2   0.296 %
     80.77.151.30 |   2   7.692 % |   2   0.296 %
    67.142.182.18 |   2   7.692 % |   2   0.296 %
      196.2.2.230 |   2   7.692 % |   2   0.296 %
      74.54.91.66 |   2   7.692 % |   2   0.296 %
     158.165.1.26 |   2   7.692 % |   2   0.296 %
   117.18.224.146 |   2   7.692 % |   2   0.296 %
     66.84.158.11 |   2   7.692 % |   2   0.296 %
    213.128.194.2 |   2   7.692 % |   2   0.296 %
   207.69.195.105 |   2   7.692 % |   2   0.296 %
     95.159.65.51 |   2   7.692 % |   2   0.296 %
    198.203.174.7 |   2   7.692 % |   2   0.296 %
     199.34.66.36 |   2   7.692 % |   2   0.296 %
      216.70.53.5 |   2   7.692 % |   2   0.296 %
   207.69.195.109 |   2   7.692 % |   2   0.296 %
    220.226.6.118 |   2   7.692 % |   2   0.296 %
   117.18.224.147 |   2   7.692 % |   2   0.296 %
      146.9.3.194 |   1   3.846 % |   1   0.148 %
     192.197.83.1 |   1   3.846 % |   1   0.148 %
    64.107.112.10 |   1   3.846 % |   1   0.148 %
   89.162.150.100 |   1   3.846 % |   1   0.148 %
  117.121.222.222 |   1   3.846 % |   1   0.148 %
  159.213.224.130 |   1   3.846 % |   1   0.148 %
  195.225.219.131 |   1   3.846 % |   1   0.148 %
       58.71.2.66 |   1   3.846 % |   1   0.148 %
       80.246.0.3 |   1   3.846 % |   1   0.148 %
      66.119.52.3 |   1   3.846 % |   1   0.148 %
      78.40.14.10 |   1   3.846 % |   1   0.148 %
     208.78.216.5 |   1   3.846 % |   1   0.148 %
     213.55.95.18 |   1   3.846 % |   1   0.148 %
     61.220.5.186 |   1   3.846 % |   1   0.148 %
     89.96.197.24 |   1   3.846 % |   1   0.148 %
     91.205.130.2 |   1   3.846 % |   1   0.148 %
    12.131.129.36 |   1   3.846 % |   1   0.148 %
   129.35.202.236 |   1   3.846 % |   1   0.148 %
       58.71.2.67 |   1   3.846 % |   1   0.148 %
       85.37.17.5 |   1   3.846 % |   1   0.148 %
     91.202.252.5 |   1   3.846 % |   1   0.148 %
    81.12.128.203 |   1   3.846 % |   1   0.148 %
   12.165.188.130 |   1   3.846 % |   1   0.148 %
   200.35.174.127 |   1   3.846 % |   1   0.148 %
   208.109.197.76 |   1   3.846 % |   1   0.148 %
   212.48.143.201 |   1   3.846 % |   1   0.148 %
  218.248.240.135 |   1   3.846 % |   1   0.148 %
       12.31.22.2 |   1   3.846 % |   1   0.148 %
       187.44.0.5 |   1   3.846 % |   1   0.148 %
      119.235.0.4 |   1   3.846 % |   1   0.148 %
      66.90.68.26 |   1   3.846 % |   1   0.148 %
     142.77.2.101 |   1   3.846 % |   1   0.148 %
     195.64.222.2 |   1   3.846 % |   1   0.148 %
     66.179.30.10 |   1   3.846 % |   1   0.148 %
    66.155.178.66 |   1   3.846 % |   1   0.148 %
    81.12.128.204 |   1   3.846 % |   1   0.148 %
   60.191.249.238 |   1   3.846 % |   1   0.148 %
   74.120.224.199 |   1   3.846 % |   1   0.148 %
  203.146.237.212 |   1   3.846 % |   1   0.148 %
      61.220.8.23 |   1   3.846 % |   1   0.148 %
      64.207.64.3 |   1   3.846 % |   1   0.148 %
      66.40.56.32 |   1   3.846 % |   1   0.148 %
     61.220.9.141 |   1   3.846 % |   1   0.148 %
    204.197.219.3 |   1   3.846 % |   1   0.148 %
       62.182.8.4 |   1   3.846 % |   1   0.148 %
     209.86.89.70 |   1   3.846 % |   1   0.148 %
     50.21.209.60 |   1   3.846 % |   1   0.148 %
     72.249.87.26 |   1   3.846 % |   1   0.148 %
    182.190.0.165 |   1   3.846 % |   1   0.148 %
    200.19.62.243 |   1   3.846 % |   1   0.148 %
