           NC | 134437        | 0.001
           TM | 131543        | 0.001
           AI | 127526        | 0.001
           DJ | 125876        | 0.001
           SD | 122379        | 0.001
           FO | 121982        | 0.001
           ZM | 118962        | 0.001
           MC | 115671        | 0.001
           ET | 114837        | 0.001
           BS | 113754        | 0.001
           MP | 110633        | 0.001
           FJ | 107887        | 0.001
           TJ | 106325        | 0.001
           PG | 105128        | 0.001
           GI | 95912         | 0.001
           RE | 92199         | 0.000
           NF | 89059         | 0.000
           BJ | 86440         | 0.000
           YU | 81802         | 0.000
           NR | 80500         | 0.000
           MW | 76399         | 0.000
           TF | 75410         | 0.000
           JM | 72690         | 0.000
           SR | 72487         | 0.000
           SM | 72187         | 0.000
           AN | 72035         | 0.000
           KI | 68339         | 0.000
           DM | 68310         | 0.000
           BF | 65227         | 0.000
           SB | 65123         | 0.000
           IQ | 62414         | 0.000
           JE | 61717         | 0.000
           KN | 61194         | 0.000
           GA | 58451         | 0.000
           BI | 57854         | 0.000
           BB | 55876         | 0.000
           GP | 55767         | 0.000
           CV | 53946         | 0.000
           GQ | 53259         | 0.000
           VA | 53046         | 0.000
           MR | 52749         | 0.000
           TG | 52274         | 0.000
           MV | 52259         | 0.000
           ER | 48029         | 0.000
           PF | 45809         | 0.000
          TEL | 42175         | 0.000
       MUSEUM | 37376         | 0.000
           ML | 37126         | 0.000
           SZ | 34481         | 0.000
           CK | 32504         | 0.000
           YE | 32501         | 0.000
           LS | 30660         | 0.000
           BT | 27676         | 0.000
           AW | 24182         | 0.000
           PW | 16928         | 0.000
           KM | 14779         | 0.000
           CF | 14211         | 0.000
           SL | 14039         | 0.000
           AQ | 12181         | 0.000
           GN | 11738         | 0.000
           CG | 9774          | 0.000
           TD | 8440          | 0.000
           LR | 8191          | 0.000
           AX | 7199          | 0.000
           GU | 5988          | 0.000
           FK | 5925          | 0.000
           GW | 5723          | 0.000
           GF | 5372          | 0.000
           MQ | 3706          | 0.000
           MH | 2170          | 0.000
