com	294843231
net	177277446
arpa	101532512
org	24415965
uk	4106912
edu	3990229
ru	3581569
us	3241002
de	3216515
info	2565809
cn	2241200
ca	2194366
gov	2112127
it	1948466
jp	1859908
au	1809040
fr	1728730
biz	1609327
pl	1371152
kr	1310881
co	1309053
br	1260680
nl	1081563
tv	1076272
in	1044497
ua	1010043
dk	986869
es	963536
ch	872007
ro	719649
ge	711489
mil	694420
eu	652638
cc	630432
se	547553
ar	519467
mx	511251
tw	494658
me	431667
be	414027
at	405865
cz	399959
hu	396071
il	330312
vn	313165
nz	299406
ir	282229
tr	280725
za	274571
cl	251910
fi	251147
no	250966
ph	234790
sg	228944
pt	214355
gr	207655
id	203018
th	182764
ws	178140
bz	177532
ie	171111
hk	168300
lv	155911
bg	153165
to	152052
mobi	143577
int	130845
su	127795
name	124460
rs	120536
lt	116639
my	107673
sk	103996
nu	96312
fm	93444
cx	92424
pe	92092
lu	86822
ma	86646
ke	82521
hr	77146
sa	69131
dz	69061
tk	67956
am	61985
kz	60809
pk	60101
la	59423
si	59340
ms	56834
ve	51080
by	50522
cm	49455
ad	47372
is	47100
ae	45974
ee	45504
pro	45261
ly	44256
uy	37437
do	35392
io	34155
mn	32623
coop	30819
md	29791
im	29054
py	28011
cr	27864
st	27752
gs	27361
li	26741
mg	25912
cy	25861
cat	24998
ht	24787
bm	24341
eg	23262
ec	22318
ba	22043
lb	21938
ag	21415
qa	20579
cu	20556
asia	19753
sh	18941
ug	18932
gl	18773
np	18703
bo	17916
gt	16898
jo	16449
jobs	15827
ac	15563
bd	15392
mk	15033
mu	14725
tc	14592
tt	14418
zw	14402
uz	14264
az	13575
travel	13211
lk	13211
sc	13055
ni	12912
pr	12821
kh	12252
sv	11677
mm	11485
as	11407
cd	11300
ao	11219
ne	11140
ps	11045
om	10973
tl	10839
hn	10545
nf	10459
ki	10010
pn	9965
kw	9896
aero	9193
pa	9152
ci	9149
gh	8809
ng	8622
tz	8547
gm	8511
mt	8269
mo	8221
vi	7890
kg	7686
vg	7640
al	7505
bh	7372
bn	7274
tj	7209
bw	6838
gd	6654
ky	6577
hm	6570
sn	6400
na	6325
tn	6096
lc	6093
mz	6063
vu	5887
sy	5719
gg	5656
rw	5007
mc	4904
af	4848
gi	4713
zm	4587
nc	4516
pg	4378
fo	4370
dj	4318
ai	4305
bs	4273
tf	4186
sd	4169
mp	4025
tm	3886
et	3735
fj	3568
vc	3539
re	3190
bj	3079
an	2801
nr	2698
jm	2693
gy	2666
bi	2530
sm	2388
mw	2322
kn	2316
sr	2310
sb	2283
je	2226
bf	2225
dm	2178
gq	2171
ga	2096
iq	2074
cv	2054
tg	1939
yu	1888
va	1812
bb	1799
gp	1788
pf	1633
mv	1629
museum	1541
mr	1463
tel	1293
er	1254
sz	1172
ml	1082
ye	1048
ck	907
bt	900
ls	832
aw	804
aq	570
km	513
sl	494
pw	425
cf	408
td	378
gn	371
cg	353
fk	312
ax	270
lr	266
gu	233
gf	220
gw	206
mq	130
mh	80
